42499201,42489056,39,114,1763,12
42499201,42514385,11,429,1719,12
42499201,42499207,5,112,465,12
42471683,42471681,-50,221,1652,12
42464982,42482392,-32,389,613,12
42464982,42464985,47,185,1823,12
42464982,42464979,-25,778,712,12
42499207,42514388,47,293,405,12
42499207,42506685,-34,75,935,12
42481581,42481580,67,537,747,12
42481581,42482358,54,698,975,12
42481581,42481583,-15,694,933,12
42514388,42514385,-34,543,412,12
42514388,42482381,700,80,2404,12
42514388,42506685,800,40,2962,12
5211448861,5211448863,-23,565,1563,12
5211448863,5211448872,47,301,715,12
5211448863,5211448873,97,271,1892,12
42468443,42464977,95,348,1374,12
42468443,42482388,-13,490,356,12
42468443,42481599,53,728,1554,12
597728158,42496492,-1,411,413,12
5211448872,5211448873,56,655,1834,12
5211448872,42482258,-20,392,875,12
5211448873,42482258,60,248,498,12
42471681,42464985,96,350,559,12
42471681,42496492,12,795,1068,12
42482354,42514378,79,414,806,12
42482354,42481580,-3,367,1013,12
42482354,42482266,600,200,1541,12
42482354,42482358,800,108,1881,12
42481583,42481586,-41,260,341,12
42481583,42482366,60,481,1626,12
42481586,42482372,30,665,626,12
42481586,42520269,72,459,1966,12
42481586,42481589,6,586,904,12
3819884723,42520269,14,179,1008,12
42481589,42482378,80,567,1581,12
42481589,42520269,-15,321,1446,12
42481589,42481590,65,479,1296,12
42482358,42495190,-21,52,616,12
42482358,42482366,-19,447,1795,12
42492983,42481593,-37,474,1861,12
42492983,42464975,-13,487,1123,12
42492983,42481599,38,659,702,12
42481593,42482385,-25,670,1759,12
42481593,42481590,-44,711,752,12
42481593,42481599,-31,609,1933,12
42514378,42482266,73,348,989,12
42514378,42495190,29,531,1351,12
42482366,42486650,12,290,403,12
42482366,42482372,39,24,586,12
42481599,42464975,33,77,1229,12
42514385,42482378,73,307,1288,12
42514385,42489052,40,535,1518,12
42482372,42489052,36,385,437,12
42482372,42482378,794,183,2543,12
42481590,42482381,-22,495,1497,12
42481590,42520269,64,573,1269,12
42482378,42482381,25,14,1214,12
42482381,42482385,-16,114,1943,12
42482385,42482388,-23,352,1534,12
42482385,42506685,-42,522,980,12
42482258,42482266,-34,377,1037,12
42464979,42464977,-8,340,1121,12
42464979,42496492,89,484,544,12
42482388,42482392,83,719,304,12
42482388,42514395,11,127,1795,12
42495190,42486650,80,372,1066,12
42482392,42502366,39,587,332,12
42464985,42502366,-43,66,403,12
42482266,42481580,90,399,1791,12
42464975,42464977,-39,764,1038,12
42464975,42496492,55,217,1049,12
42486650,2597738079,6,166,1259,12
42486650,42489052,0,347,300,12
42502366,42514395,82,10,1793,12
2597738079,42489056,-50,694,978,12
2597738079,2597738085,40,491,779,12
42489056,42489052,-21,17,512,12
42514395,42506685,18,130,655,12
